pity,count,cumulative_count,cumulative_probability
1,32,32,0.0032
2,28,60,0.0060
3,30,90,0.0090
4,25,115,0.0115
5,28,143,0.0143
6,29,172,0.0172
7,33,205,0.0205
8,32,237,0.0237
9,33,270,0.0270
10,30,300,0.0300
11,33,333,0.0333
12,32,365,0.0365
13,50,415,0.0415
14,24,439,0.0439
15,30,469,0.0469
16,39,508,0.0508
17,30,538,0.0538
18,21,559,0.0559
19,27,586,0.0586
20,32,618,0.0618
21,30,648,0.0648
22,29,677,0.0677
23,23,700,0.0700
24,26,726,0.0726
25,21,747,0.0747
26,27,774,0.0774
27,32,806,0.0806
28,22,828,0.0828
29,35,863,0.0863
30,29,892,0.0892
31,20,912,0.0912
32,33,945,0.0945
33,21,966,0.0966
34,21,987,0.0987
35,30,1017,0.1017
36,35,1052,0.1052
37,30,1082,0.1082
38,30,1112,0.1112
39,27,1139,0.1139
40,22,1161,0.1161
41,25,1186,0.1186
42,30,1216,0.1216
43,35,1251,0.1251
44,18,1269,0.1269
45,30,1299,0.1299
46,31,1330,0.1330
47,18,1348,0.1348
48,29,1377,0.1377
49,30,1407,0.1407
50,20,1427,0.1427
51,26,1453,0.1453
52,26,1479,0.1479
53,34,1513,0.1513
54,21,1534,0.1534
55,33,1567,0.1567
56,18,1585,0.1585
57,22,1607,0.1607
58,17,1624,0.1624
59,27,1651,0.1651
60,21,1672,0.1672
61,34,1706,0.1706
62,17,1723,0.1723
63,38,1761,0.1761
64,23,1784,0.1784
65,21,1805,0.1805
66,23,1828,0.1828
67,26,1854,0.1854
68,26,1880,0.1880
69,26,1906,0.1906
70,26,1932,0.1932
71,23,1955,0.1955
72,21,1976,0.1976
73,21,1997,0.1997
74,18,2015,0.2015
75,58,2073,0.2073
76,121,2194,0.2194
77,166,2360,0.2360
78,210,2570,0.2570
79,267,2837,0.2837
80,254,3091,0.3091
81,323,3414,0.3414
82,338,3752,0.3752
83,360,4112,0.4112
84,373,4485,0.4485
85,411,4896,0.4896
86,381,5277,0.5277
87,388,5665,0.5665
88,394,6059,0.6059
89,393,6452,0.6452
90,3548,10000,1.0000
